Rank,Lister,Artist,Album,# of lists,98
8,Isabel W,Olivia Rodrigo,Sour,,
9,Isabel W,Brockhampton,Roadrunner,,
10,Isabel W,Kacey Musgraves,star-crossed,,
1,Ivan,black midi,Cavalcade,,
2,Ivan,C. Tangana,El Madrileño,,
3,Ivan,Koreless,Agor,,
4,Ivan,Squid,Bright Green Field,,
5,Ivan,Little Simz,Sometimes I Might Be Introvert,,
6,Ivan,Zouj,Tagat (Mixtape),,
7,Ivan,Floating Points & Pharaoh Sanders,Promises,,
8,Ivan,Arca,KicK iii,,
9,Ivan,"Tyler, the Creator",Call Me If You Get Lost,,
10,Ivan,"Black Country, New Road",For the First Time,,
1,Iverne,Sarah Juers,Cyberspace,,
2,Iverne,Taylor Leonhardt,Hold Still,,
3,Iverne,Cody Fry,Pictures of Mountains,,
4,Iverne,Zach Winters,Other Side (B),,
5,Iverne,Fleet Foxes,A Very Lonely Solstice,,
6,Iverne,Jess Ray,Baby Take My Hand,,
7,Iverne,Chris Renzema,Get Out of the Way of Your Own Heart,,
8,Iverne,Amber Mattfield,Transition,,
9,Iverne,Jon Foreman,Departures,,
10,Iverne,Switchfoot,interrobang,,
1,Jackson,NF,Clouds,,
2,Jackson,Brockhampton,Roadrunner,,
3,Jackson,John Mayer,Sob Rock,,
4,Jackson,Mod Sun,Internet Killed the Rock Star,,
5,Jackson,KALEO,Surface Sounds,,
6,Jackson,Twenty One Pilots,Scaled and Icy,,
7,Jackson,Hobo Johnson,The Revenge of Hobo Johnson,,
8,Jackson,Willow,Lately I Feel Everything,,
9,Jackson,J. Cole,The Off-Season,,
10,Jackson,Daniyel,82,,
1,Jacob B.,Current Joys,Voyager,,
2,Jacob B.,Parcels,Day/Night,,
3,Jacob B.,Squid,Bright Green Field,,
4,Jacob B.,Ritt Momney,Sunny Boy,,
5,Jacob B.,Indigo de Souza,Any Shape You Take,,
6,Jacob B.,Clairo,Sling,,
7,Jacob B.,Lawrence,Hotel TV,,
8,Jacob B.,Snail Mail,Valentine,,
9,Jacob B.,Christopher Atkins,On the Turn Again,,
10,Jacob B.,Illuminati Hotties,Let Me Do One More,,
1,Jacob S.,"Tyler, the Creator",Call Me If You Get Lost,,
2,Jacob S.,Silk Sonic,An Evening With Silk Sonic,,
3,Jacob S.,KAYTRANADA,Intimidated,,
4,Jacob S.,Connor Musarra,Attempt 3,,
5,Jacob S.,DJ Harrison,Tales from the Old Dominion,,
6,Jacob S.,daysormay,Just Existing,,
7,Jacob S.,Benny Sings,Beat Tape II,,
8,Jacob S.,Raquel Rodriguez,Sweet Side,,
9,Jacob S.,Wanderer,Travel Plans,,
10,Jacob S.,Millwood,Spiral,,
1,Jacob T.,Parannoul,To See the Next Part of the Dream,,
2,Jacob T.,The Armed,Ultrapop,,
3,Jacob T.,Turnstile,Glow On,,
4,Jacob T.,black midi,Cavalcade,,
5,Jacob T.,Julien Baker,Little Oblivions,,
6,Jacob T.,Godspeed You! Black Emperor,G_d’s Pee AT STATE’S END!,,
7,Jacob T.,Noah Gunderson,A Pillar of Salt,,
8,Jacob T.,Lucy Dacus,Home Video,,
9,Jacob T.,The War on Drugs,I Don't Live Here Anymore,,
10,Jacob T.,Rhye,Home,,
1,Jakob,Dave,We’re All Alone in this Together,,
2,Jakob,Parcels,Day/Night,,
3,Jakob,black midi,Cavalcade,,
4,Jakob,Wolf Alice,Blue Weekend,,
5,Jakob,James Blake,Friends That Break Your Heart,,
6,Jakob,Snail Mail,Valentine,,
7,Jakob,Baby Keem,The Melodic Blue,,
8,Jakob,Arlo Parks,Collapsed in Sunbeams,,
9,Jakob,Terrace Martin,Drones,,
10,Jakob,Young Thug,Punk,,
1,James,Hayley Williams,FLOWERS for VASES / descansos,,
2,James,Colony House,Rotten Tomatoes,,
3,James,COIN,Rainbow Mixtape,,
4,James,Silk Sonic,An Evening With Silk Sonic,,
5,James,Twenty One Pilots,Scaled and Icy,,
6,James,Jon Foreman,Departures,,
7,James,Switchfoot,interrobang,,
8,James,Julien Baker,Little Oblivions,,
9,James,HalfNoise,Motif,,
10,James,Milky Chance,Trip Tape,,
1,Jenae,Billie Eilish,Happier Than Ever,,
2,Jenae,Kanye West,Donda,,
3,Jenae,Doja Cat,Planet Her,,
4,Jenae,Lil Nas X,Montero,,
5,Jenae,Adele,30,,
6,Jenae,Aminé,TWOPOINTFIVE,,
7,Jenae,Louis the Child,Euphoria,,
8,Jenae,Valley,Last Birthday,,
9,Jenae,bbno$,eat ya veggies,,
10,Jenae,Sonny Fodera,Wide Awake,,
1,Jessica,Adele,30,,
2,Jessica,Olivia Rodrigo,Sour,,
3,Jessica,Coldplay,Music of the Spheres,,
4,Jessica,Jon Batiste,WE ARE,,
5,Jessica,Jorja Smith,Be Right Back,,
6,Jessica,Kacey Musgraves,star-crossed,,
7,Jessica,Kanye West,Donda,,
8,Jessica,Jazmine Sullivan,Heaux Tales,,
9,Jessica,Drake,Certified Lover Boy,,
10,Jessica,Lana Del Rey,Chemtrails Over the Country Club,,
1,Jules,Lord Huron,Long Lost,,
2,Jules,The Marías,CINEMA,,
3,Jules,Lana Del Rey,Chemtrails Over the Country Club,,
4,Jules,Doja Cat,Planet Her,,
5,Jules,Lil Nas X,Montero,,
6,Jules,Fleet Foxes,A Very Lonely Solstice,,
7,Jules,Bo Burnham,Inside (The Songs),,
8,Jules,Billie Eilish,Happier Than Ever,,
9,Jules,Angus & Julia Stone,Life Is Strange,,
10,Jules,Clairo,Sling,,
1,Kelsey,Julien Baker,Little Oblivions,,
2,Kelsey,Halsey,"If I Can't Have Love, I Want Power",,
3,Kelsey,Bo Burnham,Inside (The Songs),,
4,Kelsey,Wolf Alice,Blue Weekend,,
5,Kelsey,Lord Huron,Long Lost,,
6,Kelsey,Fleet Foxes,A Very Lonely Solstice,,
7,Kelsey,Lil Nas X,Montero,,
8,Kelsey,Bleachers,Take the Sadness Out of Saturday Night,,
9,Kelsey,The Black Keys,Delta Kream,,
10,Kelsey,KALEO,Surface Sounds,,
1,Kevin,Django Django,Glowing in the Dark,,
2,Kevin,Parquet Courts,Sympathy for Life,,
3,Kevin,The War on Drugs,I Don't Live Here Anymore,,
4,Kevin,Manchester Orchestra,The Million Masks of God,,
5,Kevin,Cloud Nothings,The Shadow I Remember,,
6,Kevin,Guided by Voices,It’s Not Them. It Couldn’t Be Them. It Is Them!,,
7,Kevin,Mannequin Pussy,Perfect,,
8,Kevin,Japanese Breakfast,Jubilee,,
9,Kevin,Villagers,Fever Dreams,,
10,Kevin,Dinosaur Jr.,Emptiness at the Sinclair,,
1,Kristen,Bo Burnham,Inside (The Songs),,
2,Kristen,Valley,Last Birthday,,
3,Kristen,Neil Young & Crazy Horse,Barn,,
4,Kristen,Billie Eilish,Happier Than Ever,,
5,Kristen,Olivia Rodrigo,Sour,,
6,Kristen,Lil Nas X,Montero,,
7,Kristen,Greta Van Fleet,The Battle at Garden’s Gate,,
8,Kristen,Silk Sonic,An Evening With Silk Sonic,,
9,Kristen,Adele,30,,
10,Kristen,Lorde,Solar Power,,
1,Kurt,MØL,Diorama,,
2,Kurt,At the Gates,The Nightmare of Being,,
3,Kurt,Harakiri for the Sky,Mære,,
4,Kurt,Unto Others,Strength,,
5,Kurt,Cradle of Filth,Existence is Futile,,
6,Kurt,Stormkeep,Tales of Othertime,,
7,Kurt,Mitochondrial Sun,Bodies and Gold,,
